id,auto_doc_no,order_no,order_date,customer_name,product_name,weight_label,sale_qty,total_weight_grams,sales_key,inventory_issue_code,inventory_code,inventory_name,issue_factor,issue_qty,inventory_unit,suggested_lot_code,suggested_exp_date,suggested_lot_qty_before,suggested_lot_cumulative_auto,consumed_lot_code,consumed_lot_barcode,lot_qty_before,lot_qty_after,fefo_check,status,source_row
4768a9b1-eec0-5277-9f23-8d7046ba1bb8,AUTO-0032,DH0006,2026-03-17,Yến Q7,Thăn bò ngũ vị,150g,1,150,Thăn bò ngũ vị | 150g,TP009,TP009,Thăn bò ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,34
21745273-8d4d-56d6-98c6-c05eb2e00465,AUTO-0033,DH0006,2026-03-17,Yến Q7,Thăn bò̀ cajun,150g,1,150,Thăn bò̀ cajun | 150g,TP010,TP010,Thăn bò̀ cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,35
046fbd02-4afa-5151-835d-71d048996e86,AUTO-0034,DH0006,2026-03-17,Yến Q7,Tôm gừng tỏi,150g,1,150,Tôm gừng tỏi | 150g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,36
25a631a5-c32b-5b4b-8c0c-75ec34729132,AUTO-0035,DH0006,2026-03-17,Yến Q7,Tôm cajun,150g,1,150,Tôm cajun | 150g,TP012,TP012,Tôm cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,37
ac269e40-b6cd-5cac-9ff7-444c840b8aa4,AUTO-0036,DH0006,2026-03-17,Yến Q7,Cá thu cà ri,150g,1,150,Cá thu cà ri | 150g,TP013,TP013,Cá thu cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,38
a2df9336-93b1-5304-9575-94e6ddd868f8,AUTO-0037,DH0007,2026-03-17,Trúc,Thăn bò ngũ vị,100g,1,100,Thăn bò ngũ vị | 100g,TP009,TP009,Thăn bò ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,39
305df15b-699e-521d-92a0-9cb6074f86ac,AUTO-0038,DH0007,2026-03-17,Trúc,Tôm gừng tỏi,100g,1,100,Tôm gừng tỏi | 100g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,40
37edd4ad-f8b9-54a4-a3e7-a2ff2c21a7e7,AUTO-0039,DH0007,2026-03-17,Trúc,Ức gà cajun,100g,2,200,Ức gà cajun | 100g,TP001,TP001,Ức gà cajun,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,41
67e80d1f-2e97-51ab-9622-0b41bbf4df07,AUTO-0040,DH0007,2026-03-17,Trúc,Cốt lết mè rang,100g,1,100,Cốt lết mè rang | 100g,TP005,TP005,Cốt lết mè rang,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,42
2ee8c4fd-75a3-5962-8d6f-d9ebfbe30164,AUTO-0041,DH0008,2026-03-17,Huyền dạy yoga cổng vào Vista,Ức gà ngũ vị,100g,1,100,Ức gà ngũ vị | 100g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,43
